,Link,Tweet,Tanggal,Like,Comment
0,https://twitter.com/RangerLone3068/status/1758057940094001590#m,Nih salah 1 aktor nyungsepnya ganjar di pilpres ini,"Feb 15, 2024 · 9:17 AM UTC",0,0
1,https://twitter.com/fdlhendri/status/1757758245937250311#m,"Ni beneran kah program desak anies, slepet imin, malmingan ganjar, dan tabrak prof ga efektif?","Feb 14, 2024 · 1:26 PM UTC",42395,1551
2,https://twitter.com/Aanptp/status/1758057935689953301#m,Gauzah bingung dikamlung gw mayoritas puluhan tahun pdi.. suara ganjar aja urutan 3..,"Feb 15, 2024 · 9:17 AM UTC",0,0
3,https://twitter.com/taufik_q/status/1758038492687606153#m,"Bukti temuan oleh pakar di bidangnya.  Setiap kali hasil suara C1 discan, suara Anies tetap, Suara Prabowo naik, dan suara Ganjar turun. Pantaslah...","Feb 15, 2024 · 8:00 AM UTC",79,3
4,https://twitter.com/wordfangs/status/1757813400162480362#m,Anies Ganjar,"Feb 14, 2024 · 5:05 PM UTC",9010,67
5,https://twitter.com/utdfocusid/status/1757781530150322414#m,Kayanya lebih banyak suara Komeng daripada suara Ganjar 🤣,"Feb 14, 2024 · 2:59 PM UTC",8494,253
6,https://twitter.com/kegblgnunfaedh/status/1758005376581280205#m,"Tim Pemenangan Nasional (TPN) Ganjar-Mahfud berencana membuka peluang untuk berkomunikasi dengan Timnas AMIN untuk mengusut kecurangan Pemilu 2024. Hal itu disampaikan oleh Wakil Ketua TPN Jendral (Purn) TNI Andika Perkasa di Posko Pemenangan Teuku Umar Jakarta, pada Rabu, 14 Februari 2023l4.  Andika mengatakan bahwa tim hukum TPN sudah berkomunikasi secara informal.  ""Komunikasi informal sudah. Tim hukum pun sudah bertemu sebelum hari ini. Jadi menurut saya komunikasi sudah dilakukan dan masih akan terus dilanjutkan, sampai sejauh mana kita lihat saja,"" kata Andika kepada wartawan.Mantan Panglima TNI itu menegaskan bahwa pihaknya masih mendalami berbagai kecurangan yang terjadi selama masa Pemilu, agar memperkuat bukti-bukti yang ada.  Dia pun mengatakan bahwa pihaknya masih menunggu hasil rekapitulasi KPU secara manual, dan masih terlalu dini untuk membenarkan hasil penghitungan cepat.  Artikel: @vivacoid","Feb 15, 2024 · 5:48 AM UTC",11472,1554
7,https://twitter.com/latte_nosugar/status/1757936744199303635#m,"Nambahin contoh dialog publik lain: Gelar tikar ganjar, tabrak prof","Feb 15, 2024 · 1:15 AM UTC",215,2
8,https://twitter.com/SilentM00524125/status/1758057902160679119#m,"Tidak menghilangkan fakta statement anda bahwa ganjar yg disokong PDIP akan menang malah kalah di jateng, you can talk all you want, in the end you just a sore loser pak!","Feb 15, 2024 · 9:17 AM UTC",0,0
9,https://twitter.com/krougee/status/1757729387343200404#m,ganjar ini awet tua ya,"Feb 14, 2024 · 11:31 AM UTC",17998,321
10,https://twitter.com/DonesiaRini/status/1758057886557831282#m,Di tempat saya sdh pada bagi uang bang 02 Dimintain ktp. Real.  Kppsnya aja pake seragam biru kuda kemaren. Ada yg tidak mau ada yg mau... Ganjar anis ditempat saya bersih. Untuk baliho ganjar Dipasang sekarang besok ilang arau rusak. Itu real.,"Feb 15, 2024 · 9:17 AM UTC",0,0
11,https://twitter.com/Miduk17/status/1757993063090377138#m,"Ada juga Quick Count yang total jumlah suaranya lebih dari 100% 🤣  Saking PANIKNYA melihat angka Ganjar naik, mereka lupa kalo Angka Prabowo mestinya turun  Kecurangan ini benar2 SISTEMATIS, tapi pelakunya BODOH2","Feb 15, 2024 · 4:59 AM UTC",1511,281
12,https://twitter.com/JatimDkgGanjar/status/1758057881029812487#m,Siap siap kamu dilibas sama wowok😝,"Feb 15, 2024 · 9:17 AM UTC",0,0
13,https://twitter.com/islah_bahrawi/status/1757690985252086083#m,"Sebagai pendukung Ganjar Mahfud, kalau pun kita tidak menang, kita cukup berbangga diri bahwa kita kalah dengan terhormat. Kita telah berusaha maksimal melawan opresi aparatur dan keculasan politik paling brutal dalam sejarah bangsa ini. We'll never walk alone! Santai saja..","Feb 14, 2024 · 8:59 AM UTC",10535,1851
14,https://twitter.com/wiloball/status/1757719937240691049#m,"ganjar pranowo never had it easy. perjalanan kariernya terjal; waktu pertama kali nyaleg, kalah. jadi cagub, civil war sampe dijulukin “kader celeng”. mau nyapres, civil war lagi. dukung ruu perampasan aset, dinyinyirin kader lain. he deserves so much better.","Feb 14, 2024 · 10:54 AM UTC",30123,199
15,https://twitter.com/BangWin04/status/1758010521553711335#m,"KENAPA GANJAR KALAH NAMUN PARTAINYA OKE?  Prabowo itu udah 3 kali ikut pilpres. ini yang keempat. bagaimana caranya mengalahkan popularitas dia? Ganjar figurnya tidak sekuat Jokowi di 2014. dibully oleh petinggi PDIP di 2021. baru fix dikenalkan april 2023. terlambat untuk populer.  jadinya harus kerja 4 kali lipat melawan popularitas Prabowo. plus, dan membully Ganjar itu bukan pemandangan yang bagus buat publik. lalu, PDIP masih terlalu percaya dan mengandalkan Jokowi. terlambat menyadari kalo Jokowi sudah rancang Gibran maju cawapres sejak awal 2022 (via bocoralus Tempo). PDIP sendiri pecah suara soal capres. Hasto dkk dukung Ganjar, Bambang Pacul dukung Puan. yang ngomong sumber gua sodaranya Hasto yang punya kafe di Jalan Kaliurang atas, waktu ketemu di 2022 awal. jadi, berharap Jateng bakal menang ya sulit. Bambang Pacul ga semangat. cuma nurut bu Ketum aja. plus, yang dilawan adalah Presiden RI. pemerintah. sejak kapan bisa menang lawan pemerintah? Jokowi bisa menang 2014 sebab SBY ga cawe-cawe. sementara 2024 Jokowi menggunakan segala cara untuk memenangkan anaknya. Bansos, ngintilin Ganjar, aparat (via film Dirty Vote), etc. Tim Ganjar susah cari pendanaan. pengusaha pada dipanggilin sama presiden. ada juga yang mulai dikirimi pesan cinta berbau rencana pemeriksaan pajak. Bambang Pacul dan Puan bukan orangnya bu Mega, tapi orangnya alm. Taufik Kiemas. mereka tipe non-konfrontatif. kompromis. kalo Jawa Tengah bobol pada versi capres, ya udah susah. akhirnya caleg saja yang kerja untuk dirinya. fair enough sih. kan mereka keluar biaya sendiri. intinya:   1. Prabowo udah terlalu populer; 2. Kader PDIP ga terlalu all-out. bukan karena mereka ga mau kerja, tapi logistik kagak ada. dan ada perbedaan soal capres favorit; 3. Ga akan ada yang bisa melawan pemerintah;  ini ga pernah gua share karena bisa mengurangi semangat pendukung. Prabowo menang? ga kaget. Ganjar menang itu gua semacam berharap lotere","Feb 15, 2024 · 6:09 AM UTC",167,2
16,https://twitter.com/cacacegil/status/1758057872699871672#m,"Kalo yang menang anis, isu yang di angkat politik identitas sama pengkhianatan dia ke prabowo. Kalo prabowo yang menang, isu yg di angkat ga jauh jauh dari pelanggaran Ham. Kalo ganjar yang menang, isu yang di angkat pasti soal wadas, dan bobroknya banteng. Wkwkwk","Feb 15, 2024 · 9:17 AM UTC",0,0
17,https://twitter.com/KompasTV/status/1757937918927307230#m,"Update Real Count KPU: Anies 24,56%, Prabowo 55,97%, Ganjar 19,46% dlvr.it/T2mBdh","Feb 15, 2024 · 1:20 AM UTC",188,61
18,https://twitter.com/untoldstrony/status/1758006527066316981#m,"wkwk lagi lagi miss the points. mau 01/03 kalah itu GAPAPA asal semua fair. kalopun setelah form C1 dan hasil kpu di sesuaikan SE REAL DILAPANGAN dan suara mereka tetep kalah, ya gapapa juga. kita gak nuntut Anies/Ganjar jadi presiden, kita minta fairness. hope its clear enough.","Feb 15, 2024 · 5:53 AM UTC",119,6
19,https://twitter.com/abyegone/status/1758047329746337995#m,"Di debat ke 3: Anies kasih nilai Prabroro 11/100 Ganjar kasih nilai 5/10  Prabroro selalu bilang, biar masyarakat yang menilai.  Sekarang masyarakat kasih nilai: Anies 24% dari 100% Ganjar 16% dari 100%  Damn, you reap what you sow. Karma is a bitch.","Feb 15, 2024 · 8:35 AM UTC",3,0
20,https://twitter.com/roelsmajor/status/1758057824024707129#m,"Update: #RealCount ⚠️Data Invalid perlu Audit! pemilu2024.kpu.go.id Total Pemilih: 204,807,222  Total suara: 33,718,923 (16.46%) Total Pemilih  1. Anies 8,417,620 (24.96%) 2. Prabowo 19,203,800 (56.95%) 3. Ganjar 6,097,593 (18.08%)  Progress TPS: 359,790 dari 823,236 (43.70%)","Feb 15, 2024 · 9:17 AM UTC",0,0
21,https://twitter.com/tempodotco/status/1757968467771404311#m,Kubu Anies-Muhaimin dan Ganjar-Mahfud menolak hasil hitung cepat. Disebut banyak Indikasi kecurangan.  #KoranTempo https://koran.tempo.co/read/nasional/487274/mengapa-kubu-01-dan-03-kalah-pilpres-2024,"Feb 15, 2024 · 3:21 AM UTC",389,30
22,https://twitter.com/utdfocusid/status/1757725548464439449#m,Ganjar adalah korban keangkuhan PDIP.,"Feb 14, 2024 · 11:16 AM UTC",26872,741
23,https://twitter.com/Malika6027/status/1757708268519239864#m,Rekaman video perhitungan suara ini di ambil dari Internal Timnas Amin 1jam yg lalu dimana suara yg masuk baru kisaran 3.147.683 suara dgn rincian : - AMIN 37.41% - Pragib 51.24% - Ganjar 11.34%  Optimis 2putaran..AM1N ☝️,"Feb 14, 2024 · 10:08 AM UTC",457,18
24,https://twitter.com/liputan6dotcom/status/1758032723812446298#m,"Ganjar: Perolehan PDIP Nomor Satu, Anomali dengan Suara Saya, Kita Selidiki dlvr.it/T2mgnc #Pemilu","Feb 15, 2024 · 7:37 AM UTC",120,24
25,https://twitter.com/el_sulfat/status/1755531697045803056#m,"Kata Bambang Pacul, pilpres kali ini berat krn kalah komandan.  Komandan pemenangan Ganjar di Jawa Tengah yg ngomong apa adanya.","Feb 8, 2024 · 9:59 AM UTC",110,1
26,https://twitter.com/VIVAcoid/status/1758055339591954649#m,"Real Count 51,25% KPU di DKI: Prabowo-Gibran 41,37%, AMIN 40,67%, Ganjar-Mahfud 17,96% dlvr.it/T2mrZw","Feb 15, 2024 · 9:07 AM UTC",22,6
27,https://twitter.com/yaniarsim/status/1757993621054427230#m,TPN Ganjar-Mahfud akan bekerjasama dengan TIMNAS AMIN untuk mengusut kecurangan pemilu. Tetap waspada @tomlembong dkk.  Banteng tetaplah binatang buas.  Negri para bedebah Real Count,"Feb 15, 2024 · 5:01 AM UTC",1018,39
28,https://twitter.com/Penyuka_ombak/status/1757757644998369514#m,"*BUKTI TEMUAN OLEH PAKAR AHLI DIBIDANGNYA YANG DIDUGA KECURANGAN OLEH APLIKASI SI REKAP, KPU*  *Sudah diperingatkan jauh sebelum pencoblosan Pilpres 2024... Setiap kali hasil suara C1 discan, suara Anies tetap, Suara Prabowo naik, dan suara Ganjar turun. Yang ngomong bukan saya. Clear.*  *Ada Penggembungan Suara Di suara paalon 02 dan yabg di Rugikan Penurunan Paslon 03, Dari Penyebab Aplikasi SI REKAPITULASI Yang Di Buat Oleh KPU.*  *Artinya Itu Sudah Di Rekayasa Bentuk KECURANGAN MASIF Dan TERSTRUKTUR CRIME ORDINARI MASIF OLEH PIHAK KPU !!!*  Mohon Atensinya @bawaslu_RI","Feb 14, 2024 · 1:24 PM UTC",1402,88
29,https://twitter.com/ivyclover13/status/1757998995677593899#m,"Gini ya. Pilihan tuh kayak misalnya bubur diaduk atau ga diaduk, mi goreng atau mi rebus.   Contoh yang bukan pilihan: • Israel/Palestina, lu pilih Israel berarti lu mendukung genosida. • Anies/Prabowo/Ganjar, lu pilih Prabowo berarti lu mendukung kejahatan HAM dan nepotisme.","Feb 15, 2024 · 5:23 AM UTC",1276,10
