,Link,Tweet,Tanggal,Like,Comment
0,https://twitter.com/Arie_Kriting/status/1757968739117764674#m,"Sewaktu Pak Jokowi menang di 2019, tidak pernah terlintas untuk menyerang pendukung Pak Prabowo pada saat itu.  Mengancam karirnya akan habis, memaki, menyuruh pindah warga negara, atau menghujat masalah pribadinya.  Kaget juga kalau beda pilihan bikin orang bisa semarah itu.","Feb 15, 2024 · 3:23 AM UTC",2338,305
1,https://twitter.com/SherlockGantan/status/1757716215475183799#m,"Just a reminder bahwa rakyat Indonesia memenangkan Prabowo-Gibran bukan karena mereka suka Prabowo, tapi karena ingin keberlanjutan Jokowi.  Ketika tahun lalu Jokowi dipersepsikan dukung Ganjar, Ganjar lah yang diprediksi akan menang.  Jokowi dukung Anies pun, Anies akan menang.","Feb 14, 2024 · 10:39 AM UTC",22077,646
2,https://twitter.com/nomore658337054/status/1758056796122710231#m,"Laporin aja nanti di koreksi, yg benar beraapa  Noh prabowo ngakunya salah input, salah input koq sampai 500, ada juga yg 300","Feb 15, 2024 · 9:12 AM UTC",0,0
3,https://twitter.com/tempodotco/status/1757746286147797407#m,Prabowo-Gibran Unggul di Kalangan ODGJ di Panti Sosial Bina Laras Harapan Sentosa 2 Cipayung https://metro.tempo.co/read/1833541/prabowo-gibran-unggul-di-kalangan-odgj-di-panti-sosial-bina-laras-harapan-sentosa-2-cipayung?utm_source=Twitter&utm_medium=dlvr.it #TempoMetro,"Feb 14, 2024 · 12:39 PM UTC",847,169
4,https://twitter.com/tempodotco/status/1758038591824077035#m,"Suara Prabowo-Gibran 86 Ditulis 886 di TPS Ciputat Tangsel, Bawaslu: Salah Tulis Saja https://metro.tempo.co/read/1833841/suara-prabowo-gibran-86-ditulis-886-di-tps-ciputat-tangsel-bawaslu-salah-tulis-saja?utm_source=Twitter&utm_medium=dlvr.it #TempoMetro","Feb 15, 2024 · 8:00 AM UTC",1060,309
5,https://twitter.com/roygromiko/status/1758056795141181581#m,"Nanti kan bisa kamu sampaikan aspirasi, tenang.. Prabowo tidak sendiri memimpin negara ini.. ada DPR, MPR & badan legislasi lain yg mengawasi.","Feb 15, 2024 · 9:12 AM UTC",0,0
6,https://twitter.com/IchaVarma/status/1757763609667784959#m,"terbukti sekali lagi ternyata metode model nolol2in org, sok exclusive, sama ngatur2 pilihan orang, intimidasi dan mutusin silahturahmi orang yg ga sesuara ama u orang ga efektif hehehe","Feb 14, 2024 · 1:47 PM UTC",10088,404
7,https://twitter.com/iendrha/status/1758056792200991088#m,Prabowo menang katanya,"Feb 15, 2024 · 9:12 AM UTC",0,0
8,https://twitter.com/obejoyfuls/status/1758056791957713181#m,Bertahun-tahun kuliah dkv eh pas lulus Prabowo jadi presiden😭😭😭😭😭😭😭😭😭,"Feb 15, 2024 · 9:12 AM UTC",0,0
9,https://twitter.com/windi_wijaya17/status/1757803270352052459#m,COME BACK … yuk bisa yuk  Ketar ketir sampai saat ini dikawal pemilu.   Anies memasuki 31 persen dan prabowo turun ke 51 persen 🤣  Apakah anies akan comeback ….  WOI BUZZER ANIES NAIKIN LIKE DAN RT INI,"Feb 14, 2024 · 4:25 PM UTC",5078,110
10,https://twitter.com/Rienir123/status/1757970839792980133#m,"Serba-serbi momen lucu #Pemilu2024 Indonesia🤣✨  Btw selamat 02, prabowo-gibran  a thread","Feb 15, 2024 · 3:31 AM UTC",32925,227
11,https://twitter.com/taufik_q/status/1758038492687606153#m,"Bukti temuan oleh pakar di bidangnya.  Setiap kali hasil suara C1 discan, suara Anies tetap, Suara Prabowo naik, dan suara Ganjar turun. Pantaslah...","Feb 15, 2024 · 8:00 AM UTC",75,3
12,https://twitter.com/arwidodo/status/1758017488611123411#m,Aneh! C1 nya Prabowo 62 auto jadi 951 di aplikasi sirekap KPU RI  Berarti system IT untuk Sirekap KPU RI dikunci oleh sistem agar tidak bisa berubah meskipun oleh petugas KPPS.  Jadikan data di TPS sebagai pegangan  Bodo amat Sirekap KPU RI yg sesat dan menyesatkan,"Feb 15, 2024 · 6:36 AM UTC",458,17
13,https://twitter.com/faizalassegaf/status/1749767676875149818#m,"✍️ Politik Jahat Boy Thahir, Menjegal Anies & Ganjar…""  Faizal Assegaf (kritikus)  Erick dan Boy Thohir bersaudara makin ganas konsolidasi sejumlah konglomerat super kaya. Mengklaim ⅓ penyumbang ekonomi RI siap menangkan Prabowo-Gibran. Deklarasi culas itu muncul di tengah isu Pilpres curang.  Seolah bandar politik digiring dalam pemufakatan jahat untuk membajak demokrasi. Bermondalkan ribuan triliun punya target Pilpres satu putaran. Boy Thohir secara terbuka menyodorkan peta kekuatan para pemodal besar tersebut.  ""Mulai dari Djarum Grup, Sampoerna Grup, Adaro Grup, siapa lagi, pokoknya grup-grup semua ada di sini, ada Ninin, the richest wanita in Indonesia, dan semuanya Pak,"" ujar Boy Thoir dalam acara Relawan Erick Thohir Alumni Amerika Serikat di Plaza Senayan, Jakarta, Senin (22/1).  Prabowo Subianto hadir dan dinobatkan sebagai tamu spesial sembari menggulir pesan penting: ""Kehormatan besar, baru saya paham sekarang kenapa saya dua kali kalah pilpres, karena dulu saya enggak diundang ke sini"".  Tersirat Prabowo mengakui dua kali dicurangi lantaran tanpa sokongan Boy Thohir dan kawanan konglomerat. Kini berbalik membongkok pada rezim Jokowi dan oligarki. Di jalan gelap itu, Prabowo dijamin bakal menang satu putaran.  Keterlibatan oligarki dengan modal besar di ruang demokrasi punya daya rusak dan ancaman bagi kedaulatan politik rakyat. Sudah banyak protes rakyat bermunculan. Rakyat sangat marah dan merasa demokrasi disandera pemodal besar.  Manuver Boy Thahir dan kelompok konglomerat yang berada di lingkar kekuasaan jelas bikin gaduh. Kecurigaan publik atas peran oligarki merusak demokrasi sangat nyata. Hak dan kedaulatan politik rakyat terancam diberangus.  Terlebih pengakuan Prabowo dalam pertemuan pengusaha kaya tersebut, bahwa dirinya dua kali kalah dalam Pilpres. Ukurannya karena tidak disokong oleh jaringan oligarki. Seolah menang atau kalah atas restu pemodal besar.  Pertemuan Boy Thahir dan pemodal besar jelang pemungutan suara 14 Februari 2024 harus disikapi serius. Demokrasi tidak boleh kangkaki kelompok oligarki demi menyingkirkan kehendak aspirasi rakyat. Jelas jahat dan culas.  Bersatulah rakyat, lawan kejahatan oligarki…!  **","Jan 23, 2024 · 12:14 PM UTC",5113,457
14,https://twitter.com/pegscart/status/1758056780679336272#m,"balik lagi ke pertanyaanku: kalau prabowo memang peduli dengan negara ini, mau membela negara ini, kenapa dia ga mau menghadiri? mungkin ini pertanyaan bodoh yang dangkal. tapi ya, sederhana aja, kalau lu ga salah, apa yang lu takutkan gitu lho.  also:","Feb 15, 2024 · 9:12 AM UTC",0,0
15,https://twitter.com/BashAhLatucons6/status/1758056779316113670#m,Indonesian Human Right & Coruption Investigation (IRCI) dan Pemuda Lahatale Putih Maluku (PLPM) meminta segera kpd Bawaslu dan KPU untuk segera mendiskualifikasikan Prabowo Gibran karena deklarasikan diri secara tidak sah,"Feb 15, 2024 · 9:12 AM UTC",0,0
