,Tweet,Sentiment
0,Menurut data Quick Count Pak Prabowo : Menang Pak Ganjar & Pak Anies 8aswedan : Kalah Nirina Zubir & PDIP : Menang Gerindra : Kalah Gugatan paman : Menang Cek C-hasil : pasrah   Saatnya bilang : SEMPURNA....,negative
1,"anjing statement tolol, jabatan anies cuma gubernur dki cok, punya kuasa apa atas rohingya. justru penampungan buat rohingya itu sesuai dengan KEPRES NO 125 TAHUN 2016. apa-apa kok anies yg disalahin",negative
2,"Gelombang pengungsi Rohingya pertamakali masuk Indonesia itu taun 2009, mas. Saat itu Anies msh jd Rektor Univ. Paramadina. Punya wewenang apa beliau saat itu dlm keputusan soal Rohingya?   Jd bener ya voters 02 tuh gak sedikit yg digerakkan hasil dari penggiringan info hoax.",positive
3,Anies: Saya Terus Berada dalam Gerakan Perubahan Tanpa Bergeser  https://www.cnnindonesia.com/nasional/20240214223628-617-1062753/anies-saya-terus-berada-dalam-gerakan-perubahan-tanpa-bergeser?utm_campaign=cnnsocmed&utm_medium=oa&utm_source=twitter,negative
4,"Starting point-nya dari sini. Bila takdir @aniesbaswedan jadi Presiden, maka Allah izinkan dia. Tapi bila takdir Anies Baswedan tidak jadi Presiden, maka Allah telah selamatkan dia",neutral
5,Prabowo Sudah Deklarasikan Sebagai Pemenang Pilpres 24 versi Quick Count – Anies Baswedan Sedang Bersiap-siap Deklarasi versi Real Count https://muniranews.com/prabowo-sudah-deklarasikan-sebagai-pemenang-pilpres-24-versi-quick-count-anies-baswedan-sedang-bersiap-siap-deklarasi-versi-real-count/,positive
6,"Di debat ke 3: Anies kasih nilai Prabroro 11/100 Ganjar kasih nilai 5/10  Prabroro selalu bilang, biar masyarakat yang menilai.  Sekarang masyarakat kasih nilai: Anies 24% dari 100% Ganjar 16% dari 100%  Damn, you reap what you sow. Karma is a bitch.",neutral
7,"dari awal juga udah keliatan hasilnya, emang gw ngerasa Indonesia belum pantes dapet pemimpin se keren pak Anies 8aswedan.  tradisi korup, nepotisme, anti-kritik,  ordal ,dll. kayanya masih pengen dipelihara negeri ini.",neutral
8,Tapi Desak Anies ini berhasil buka pikiran kaum yg terbuka dan ga saklek thd suatu peristiwa,neutral
9,Gw usul Pak Anies bikin partai dan bertarung di pemilu selamjutnya. Itu terlihat lebih jantan dibanding nempel di pundak pak Paloh.,neutral
10,"Usia @aniesbaswedan baru 54 tahun. Masih muda. Masih banyak waktu dan peluang ke depan.  Pada Pilpres ini, Anies, Kpopers, dan Gen-YZ  yang mendukungnya, serta gerakan anak muda dalam Desak Anies, Bijak Memilih, telah membuat sejarah baru dengan membawa ""politik gagasan"" ke dalam pentas Pemilu.  Indonesia belum siap dengan politik gagasan ini. Kekuatan politik ""bantuan pemerintah"" yang memberi approval rate yang tinggi masih menentukan.   Kalau mau ada perubahan, mereka yang sudah mulai tercerahkan ini, yang harus bergerak terus memperjuangkan gerakan perubahan. Bersama-sama. Semakin luas.  How?",negative
11,"Prabowo akan jadi presiden, Indonesia butuh oposisi kuat. Kali ini, saya menulis Anies Baswedan di Indonesia sbg salah satu calon pemimpin oposisi. Satu tulisan lainnya ialah PDIP, tapi belum selesai nulis.   https://mediaindonesia.com/opini/651647/anies-baswedan-suar-oposisi-masa-depan-indonesia  CC: Bang @abdurarsyad",negative
12,"Saya suka optimisme anda. Tp jangan terlalu naif, paling banter dia bikin gerakan, bukan partai.  Partai modal gede, smntr Anies kere. Dan juga bukan prinsip dia. Tau ga prinsip dia apa? Dia lebih suka dukung org baik masuk parpol yg ada, bukan bikin parpol baru",negative
13,Wajarla anies mmg menang tanpa curang,neutral
14,Ternyata ini bener guys bukan fitnah 🙏 voc ada karna Anies juga 🙏,neutral
15,Bongkar Sikurap KPU yang amburadul,neutral
16,"Eh asli, gua mah ga sedih Anies kalah tapi gua sedihnya karena yang menang tu yang ngelanggar konstitusi, yang bagiin bansos berlebihan sampe harga beras mahal, politik dinasti, ngelanggar aturan KPU 62829202x dan pelanggaran lainnya.",negative
17,"Sumpah gw sampe google ""anies 2009 menjabat apa"" saking kagetnya gw liat ni statement. Dia 2009 cuma rektor Paramadina yg lokasinya di JAKSEL sedangkan rohingya masuk dari SABANG ACEH💀 Selain jadi rektor dia cuma MODERATOR DEBAT CAPRES, cara masukin refugee nya gimana bjir😭🗿",negative
18,"Sempet ngobrol dengan ojol dan temen terkait alasan pilih 02. Ojol: Prabowo baik karena pas di GBK yg dateng dikasih makan, minum, uang dan sovenir. Temen: pake eliminasi. 03 ada Puan & Mega. 01, dia nggak suka Anies karena ini https://www.google.com/amp/s/www.bbc.com/indonesia/majalah-44920435.amp  Gw golput, btw.",positive
19,"iya iyaaa, Anies 8aswedan kalah.. selamat yaa buat Paslon 02  Tapi gw tetap bangga...  suara 25%+ tanpa bantuan bapak, paman, influencer bayaran dan ASN negara.  banyak hal positif juga kok yang gw alami selama dukung 01 :",positive
20,TANAH KELAHIRAN ANIES BASWEDAN KUNINGAN FULL AMIN...  #14Feb2024AniesPresiden #14Feb2024AniesPresiden  🆘🆗,neutral
21,"Presiden PKS: Jangan Terprovokasi, Kawal Terus Suara Anies-Muhaimin https://www.oposisicerdas.com/2024/02/presiden-pks-jangan-terprovokasi-kawal.html",neutral
22,"Starting Point Abah 🥺💥  “Jika saya menjadi presiden, maka Allah izinkan saya. Tapi jika tidak, maka Allah selamatkan saya”  ~ Abah Anies 8aswedan ✨  #Pemilu2024 #ValentinesDay   ___ Sorex C-hasil Komeng Sumbar KPU Curang Pendukung 01 Bawaslu",neutral
23,"Btw kakekku 01 garis keras, cara belio ngelobi lucu bgt  “Kalo prabowo makan gratis bikin anak tambah genduuu😭, kalo Ganjar internet gratis bikin anak tambah jago main game😭😭, nah kalo Anies pendidikan gratis bikin anak makin pintar coba pilih yg paling masuk  (cont..)",negative
24,"Poltracking DKI dgn angka masuk 99% lbh, Anies kalah dr Prabowo. Bener2 underperform utk mantan Gubernur yg maha hebat.",neutral
25,"bro jd pas kmren ngitung suara presiden bocil2 sini tuh sibuk berdoa anies anies trus gw iseng kan nanya kyk ""knp dukung anies padahal belom bs milih? "" Trsdijawab ""soalnya anies ngehormatin org belajar kak drpd dikasi makan siang trus sm prabowo yg ada kta dibikin miskin",negative
26,"Ini denger langsung dari sodara saya yg main tiktok, temen2 kuliahnya yang main tiktok banyak yg ke 02 gara2 Prabowo LUCU, Anies kejam soal 11/100, dan ga suka 01 di cap cerdas/intelektual. Aku sampe skrg pun masih terbengong2.",positive
27,Ini hasil real count yg valid clear and clean terverifikasi data hasil C1 dari TPS Sabang sampe Merauke yg akan bergerak terus sementara 01 Anies unggul jadi bukan quick count yang sampling random.. yg jauh sebelum pilpres sudah di program dan di kondisikan utk membentuk opini..,negative
28,Perang dunia I dan II juga gara gara Anies cuyyy jangan lupain itu,neutral
29,"Real Count KPU di Jakarta 50,36%: Anies 38,89%, Prabowo 41,79%, Ganjar 19,31%  Untuk di DKI Jakarta, sementara Prabowo unggul. Selengkapnya:  >> https://news.detik.com/pemilu/d-7194714/real-count-kpu-di-jakarta-50-36-anies-38-89-prabowo-41-79-ganjar-19-31?utm_campaign=detikcomsocmed&utm_medium=oa&utm_source=twitter&utm_content=detikcom #detikPemilu",negative
30,"Apakah Anies selesai?  Ya, dia selesai dengan hiruk pikuk politik kita. Kabarnya akan pensiun dan fokus mengajar.  Butuh 100 tahun lagi untuk berjumpa dengan Anies Anies yang lain.",positive
31,Beda tipis aja sulit bang apa lagi beda banyak sdh bang saya ini pendukung Anies militan tapi kalau ini sdh hasilnya ya sdh berarti Indonesia rakyat nya tidak ingin perubahan,neutral
32,Kita Jadikan Anies sebagai Presiden di putaran ke-2 💪,neutral
33,"Bukti temuan oleh pakar di bidangnya.  Setiap kali hasil suara C1 discan, suara Anies tetap, Suara Prabowo naik, dan suara Ganjar turun. Pantaslah...",neutral
34,Ini contoh yg di viralkan. Suara 02 kembali ke 748 jadi 74 😂😂 Anies 108 suara,neutral
35,Anies sama Ganjar,neutral
36,"Klo kelen mengkultuskan Anies Baswedan, itu salah. Tapi klo kelen percaya atas ide dan gagasan perubahan yang dia usung untuk kebaikan bangsa dan negara, APAPUN yang terjadi, maka kelen akan tetap memilih bersama @aniesbaswedan. Tidak terbatas waktu!",negative
37,anies menang prabowo menang ganjar menang tapi jusuf kalah,negative
38,Anies Baswedan to PDI Perjuangan here we go,neutral
39,"Gini ya. Pilihan tuh kayak misalnya bubur diaduk atau ga diaduk, mi goreng atau mi rebus.   Contoh yang bukan pilihan: • Israel/Palestina, lu pilih Israel berarti lu mendukung genosida. • Anies/Prabowo/Ganjar, lu pilih Prabowo berarti lu mendukung kejahatan HAM dan nepotisme.",negative
40,real count masuk di tabulasi nasional 01 dan situs KPU secara antrian hingga subuh sekitar 12 juta-an.. anies muhaimin menang telak.   Sedangkan quit count bayaran yg muncul pasang iklan di beberapa TV  data yg masuk hingga tadi malam sebagai sample nya saja hanya 3000-an saja.,positive
41,"Hah goblok, anies punya hak apa coba buat nerima mereka?",neutral
42,Anies Kalah dari Prabowo di TPS Surya Paloh dan Tom Lembong https://cnnindonesia.com/nasional/20240214192032-617-1062651/anies-kalah-dari-prabowo-di-tps-surya-paloh-dan-tom-lembong?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmed,positive
43,"Ada lagi kan❓❔❓ Inget, ini bukan satu2 nya 😰  SUMUT, KUALUH HULU, SUKARAME TPS 002  ✌️439 harusnya 139  ___ Anies 8aswedan #Pemilu2024 Sumbar Kalah Pendukung 01 Komeng C-hasil",negative
44,"Ni beneran kah program desak anies, slepet imin, malmingan ganjar, dan tabrak prof ga efektif?",neutral
45,COME BACK … yuk bisa yuk  Ketar ketir sampai saat ini dikawal pemilu.   Anies memasuki 31 persen dan prabowo turun ke 51 persen 🤣  Apakah anies akan comeback ….  WOI BUZZER ANIES NAIKIN LIKE DAN RT INI,positive
46,anies 8aswedan 9ojo jiujitsu kaisen,neutral
47,Anies Ganjar,neutral
48,"Tak Mau Kalah Nih, Pendukung R-API Klaim Anies-Muhaimin Menang hingga Serukan Perlawanan https://www.oposisicerdas.com/2024/02/tak-mau-kalah-nih-pendukung-r-api-klaim.html",negative
49,"- Jabatan Anies yg mana yg lingkup tupoksinya mencakup ttg keputusan menerima/menolak refugee dri luar negeri?  - Penolakan Jokowi trhdap Rohingya itu hoax goblok, lo itu yg otak udang @ryujinssboyfie   Ga sudi dibilang tolol padahal emang tolol. Nikmatin tuh pembodohan dri Prabs",negative
