,Tweet,Sentiment
0,Nih salah 1 aktor nyungsepnya ganjar di pilpres ini,neutral
1,"Ni beneran kah program desak anies, slepet imin, malmingan ganjar, dan tabrak prof ga efektif?",neutral
2,Gauzah bingung dikamlung gw mayoritas puluhan tahun pdi.. suara ganjar aja urutan 3..,neutral
3,"Bukti temuan oleh pakar di bidangnya.  Setiap kali hasil suara C1 discan, suara Anies tetap, Suara Prabowo naik, dan suara Ganjar turun. Pantaslah...",neutral
4,Anies Ganjar,neutral
5,Kayanya lebih banyak suara Komeng daripada suara Ganjar 🤣,neutral
6,"Tim Pemenangan Nasional (TPN) Ganjar-Mahfud berencana membuka peluang untuk berkomunikasi dengan Timnas AMIN untuk mengusut kecurangan Pemilu 2024. Hal itu disampaikan oleh Wakil Ketua TPN Jendral (Purn) TNI Andika Perkasa di Posko Pemenangan Teuku Umar Jakarta, pada Rabu, 14 Februari 2023l4.  Andika mengatakan bahwa tim hukum TPN sudah berkomunikasi secara informal.  ""Komunikasi informal sudah. Tim hukum pun sudah bertemu sebelum hari ini. Jadi menurut saya komunikasi sudah dilakukan dan masih akan terus dilanjutkan, sampai sejauh mana kita lihat saja,"" kata Andika kepada wartawan.Mantan Panglima TNI itu menegaskan bahwa pihaknya masih mendalami berbagai kecurangan yang terjadi selama masa Pemilu, agar memperkuat bukti-bukti yang ada.  Dia pun mengatakan bahwa pihaknya masih menunggu hasil rekapitulasi KPU secara manual, dan masih terlalu dini untuk membenarkan hasil penghitungan cepat.  Artikel: @vivacoid",positive
7,"Nambahin contoh dialog publik lain: Gelar tikar ganjar, tabrak prof",neutral
8,"Tidak menghilangkan fakta statement anda bahwa ganjar yg disokong PDIP akan menang malah kalah di jateng, you can talk all you want, in the end you just a sore loser pak!",negative
9,ganjar ini awet tua ya,neutral
10,Di tempat saya sdh pada bagi uang bang 02 Dimintain ktp. Real.  Kppsnya aja pake seragam biru kuda kemaren. Ada yg tidak mau ada yg mau... Ganjar anis ditempat saya bersih. Untuk baliho ganjar Dipasang sekarang besok ilang arau rusak. Itu real.,neutral
11,"Ada juga Quick Count yang total jumlah suaranya lebih dari 100% 🤣  Saking PANIKNYA melihat angka Ganjar naik, mereka lupa kalo Angka Prabowo mestinya turun  Kecurangan ini benar2 SISTEMATIS, tapi pelakunya BODOH2",neutral
12,Siap siap kamu dilibas sama wowok😝,positive
13,"Sebagai pendukung Ganjar Mahfud, kalau pun kita tidak menang, kita cukup berbangga diri bahwa kita kalah dengan terhormat. Kita telah berusaha maksimal melawan opresi aparatur dan keculasan politik paling brutal dalam sejarah bangsa ini. We'll never walk alone! Santai saja..",negative
14,"ganjar pranowo never had it easy. perjalanan kariernya terjal; waktu pertama kali nyaleg, kalah. jadi cagub, civil war sampe dijulukin “kader celeng”. mau nyapres, civil war lagi. dukung ruu perampasan aset, dinyinyirin kader lain. he deserves so much better.",negative
15,"KENAPA GANJAR KALAH NAMUN PARTAINYA OKE?  Prabowo itu udah 3 kali ikut pilpres. ini yang keempat. bagaimana caranya mengalahkan popularitas dia? Ganjar figurnya tidak sekuat Jokowi di 2014. dibully oleh petinggi PDIP di 2021. baru fix dikenalkan april 2023. terlambat untuk populer.  jadinya harus kerja 4 kali lipat melawan popularitas Prabowo. plus, dan membully Ganjar itu bukan pemandangan yang bagus buat publik. lalu, PDIP masih terlalu percaya dan mengandalkan Jokowi. terlambat menyadari kalo Jokowi sudah rancang Gibran maju cawapres sejak awal 2022 (via bocoralus Tempo). PDIP sendiri pecah suara soal capres. Hasto dkk dukung Ganjar, Bambang Pacul dukung Puan. yang ngomong sumber gua sodaranya Hasto yang punya kafe di Jalan Kaliurang atas, waktu ketemu di 2022 awal. jadi, berharap Jateng bakal menang ya sulit. Bambang Pacul ga semangat. cuma nurut bu Ketum aja. plus, yang dilawan adalah Presiden RI. pemerintah. sejak kapan bisa menang lawan pemerintah? Jokowi bisa menang 2014 sebab SBY ga cawe-cawe. sementara 2024 Jokowi menggunakan segala cara untuk memenangkan anaknya. Bansos, ngintilin Ganjar, aparat (via film Dirty Vote), etc. Tim Ganjar susah cari pendanaan. pengusaha pada dipanggilin sama presiden. ada juga yang mulai dikirimi pesan cinta berbau rencana pemeriksaan pajak. Bambang Pacul dan Puan bukan orangnya bu Mega, tapi orangnya alm. Taufik Kiemas. mereka tipe non-konfrontatif. kompromis. kalo Jawa Tengah bobol pada versi capres, ya udah susah. akhirnya caleg saja yang kerja untuk dirinya. fair enough sih. kan mereka keluar biaya sendiri. intinya:   1. Prabowo udah terlalu populer; 2. Kader PDIP ga terlalu all-out. bukan karena mereka ga mau kerja, tapi logistik kagak ada. dan ada perbedaan soal capres favorit; 3. Ga akan ada yang bisa melawan pemerintah;  ini ga pernah gua share karena bisa mengurangi semangat pendukung. Prabowo menang? ga kaget. Ganjar menang itu gua semacam berharap lotere",negative
16,"Kalo yang menang anis, isu yang di angkat politik identitas sama pengkhianatan dia ke prabowo. Kalo prabowo yang menang, isu yg di angkat ga jauh jauh dari pelanggaran Ham. Kalo ganjar yang menang, isu yang di angkat pasti soal wadas, dan bobroknya banteng. Wkwkwk",negative
17,"Update Real Count KPU: Anies 24,56%, Prabowo 55,97%, Ganjar 19,46% dlvr.it/T2mBdh",neutral
18,"wkwk lagi lagi miss the points. mau 01/03 kalah itu GAPAPA asal semua fair. kalopun setelah form C1 dan hasil kpu di sesuaikan SE REAL DILAPANGAN dan suara mereka tetep kalah, ya gapapa juga. kita gak nuntut Anies/Ganjar jadi presiden, kita minta fairness. hope its clear enough.",negative
